ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      10           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -468.0     828.0           300.0                          10.0
     2      886.0     237.0           300.0                          10.0
     3     -385.0    -261.0           300.0                          10.0
     4     -668.0     374.0           300.0                          10.0
     5     -463.0    -449.0           300.0                          10.0
     6      -63.0    -709.0           300.0                          10.0
     7     -668.0    -361.0           300.0                          10.0
     8      828.0     -50.0           300.0                          10.0
     9     -784.0     475.0           300.0                          10.0
    10      422.0    -844.0           300.0                          10.0
