ServiceMode
STAP-IM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      10           0.0         0.0           25

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1      701.0     115.0           300.0                          10.0
     2     -714.0     307.0           300.0                          10.0
     3     -338.0     613.0           300.0                          10.0
     4     -402.0    -374.0           300.0                          10.0
     5      -65.0     617.0           300.0                          10.0
     6     -803.0    -148.0           300.0                          10.0
     7     -488.0     -41.0           300.0                          10.0
     8      117.0    -520.0           300.0                          10.0
     9     -933.0      33.0           300.0                          10.0
    10      816.0     446.0           300.0                          10.0
