ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      25           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1      886.0     116.0           300.0                          10.0
     2       -6.0    -823.0           300.0                          10.0
     3      118.0     738.0           300.0                          10.0
     4       35.0    -543.0           300.0                          10.0
     5      442.0     274.0           300.0                          10.0
     6      814.0    -245.0           300.0                          10.0
     7     -353.0     -27.0           300.0                          10.0
     8     -694.0    -593.0           300.0                          10.0
     9     -226.0     839.0           300.0                          10.0
    10     -212.0    -939.0           300.0                          10.0
    11      484.0     602.0           300.0                          10.0
    12     -307.0    -596.0           300.0                          10.0
    13     -653.0     287.0           300.0                          10.0
    14     -812.0     -67.0           300.0                          10.0
    15     -670.0    -493.0           300.0                          10.0
    16     -902.0    -123.0           300.0                          10.0
    17     -404.0     869.0           300.0                          10.0
    18     -140.0     426.0           300.0                          10.0
    19      223.0    -415.0           300.0                          10.0
    20     -283.0    -288.0           300.0                          10.0
    21      327.0    -704.0           300.0                          10.0
    22      339.0    -426.0           300.0                          10.0
    23       19.0    -656.0           300.0                          10.0
    24      460.0    -411.0           300.0                          10.0
    25      325.0     549.0           300.0                          10.0
