ServiceMode
STAP-CM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -468.0     828.0           300.0                          20.0
     2      886.0     237.0           300.0                          20.0
     3     -385.0    -261.0           300.0                          20.0
     4     -668.0     374.0           300.0                          20.0
     5     -463.0    -449.0           300.0                          20.0
     6      -63.0    -709.0           300.0                          20.0
     7     -668.0    -361.0           300.0                          20.0
     8      828.0     -50.0           300.0                          20.0
     9     -784.0     475.0           300.0                          20.0
    10      422.0    -844.0           300.0                          20.0
    11      -80.0    -404.0           300.0                          20.0
    12      -77.0    -905.0           300.0                          20.0
    13     -834.0    -219.0           300.0                          20.0
    14      464.0    -126.0           300.0                          20.0
    15      142.0     675.0           300.0                          20.0
