ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -202.0    -751.0           300.0                          15.0
     2     -613.0     -41.0           300.0                          15.0
     3      756.0    -577.0           300.0                          15.0
     4      128.0     465.0           300.0                          15.0
     5     -381.0     148.0           300.0                          15.0
     6     -371.0     103.0           300.0                          15.0
     7     -148.0     818.0           300.0                          15.0
     8     -711.0    -457.0           300.0                          15.0
     9     -353.0    -136.0           300.0                          15.0
    10     -509.0     300.0           300.0                          15.0
    11     -213.0    -570.0           300.0                          15.0
    12      394.0     594.0           300.0                          15.0
    13      146.0    -760.0           300.0                          15.0
    14      109.0     615.0           300.0                          15.0
    15      626.0    -264.0           300.0                          15.0
