ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     -129.0    -686.0           300.0                          15.0
     2     -113.0     331.0           300.0                          15.0
     3      419.0     274.0           300.0                          15.0
     4     -302.0     441.0           300.0                          15.0
     5     -665.0    -165.0           300.0                          15.0
     6     -277.0    -643.0           300.0                          15.0
     7      396.0    -380.0           300.0                          15.0
     8     -183.0    -335.0           300.0                          15.0
     9     -652.0    -251.0           300.0                          15.0
    10      158.0     469.0           300.0                          15.0
    11      890.0    -179.0           300.0                          15.0
    12     -223.0    -589.0           300.0                          15.0
    13      744.0    -580.0           300.0                          15.0
    14      430.0     107.0           300.0                          15.0
    15      375.0    -361.0           300.0                          15.0
