ServiceMode
STAP-CM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     2795.0       0.0           300.0                          10.0
     2     2083.0      85.0           300.0                          10.0
     3    -1704.0      80.0           300.0                          10.0
     4    -1221.0    -177.0           300.0                          10.0
     5     2165.0      23.0           300.0                          10.0
     6    -3145.0     -75.0           300.0                          10.0
     7      621.0    -117.0           300.0                          10.0
     8    -1398.0    -230.0           300.0                          10.0
     9     3250.0     120.0           300.0                          10.0
    10     1141.0     -68.0           300.0                          10.0
    11     1764.0     -29.0           300.0                          10.0
    12    -1229.0     176.0           300.0                          10.0
    13     3383.0      24.0           300.0                          10.0
    14      -40.0    -220.0           300.0                          10.0
    15     1935.0      91.0           300.0                          10.0
