ServiceMode
STAP-CS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1    -2387.0    -166.0           300.0                           5.0
     2      556.0     217.0           300.0                           5.0
     3     1059.0     118.0           300.0                           5.0
     4     1712.0     -32.0           300.0                           5.0
     5      544.0     -81.0           300.0                           5.0
     6     -845.0     196.0           300.0                           5.0
     7    -3716.0     -63.0           300.0                           5.0
     8     -912.0    -110.0           300.0                           5.0
     9    -2110.0    -120.0           300.0                           5.0
    10    -2437.0    -112.0           300.0                           5.0
    11     3058.0    -123.0           300.0                           5.0
    12     -794.0     150.0           300.0                           5.0
    13     1805.0      34.0           300.0                           5.0
    14     1382.0    -185.0           300.0                           5.0
    15    -1299.0     109.0           300.0                           5.0
