ServiceMode
STAP-IM

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     3883.0     -42.0           300.0                          10.0
     2      732.0     211.0           300.0                          10.0
     3      -74.0     247.0           300.0                          10.0
     4      916.0     167.0           300.0                          10.0
     5     1933.0     200.0           300.0                          10.0
     6    -2433.0     131.0           300.0                          10.0
     7    -1478.0      39.0           300.0                          10.0
     8     2609.0    -181.0           300.0                          10.0
     9    -1689.0     -77.0           300.0                          10.0
    10    -1743.0      70.0           300.0                          10.0
    11    -3032.0     -26.0           300.0                          10.0
    12    -1790.0     -32.0           300.0                          10.0
    13    -2486.0     110.0           300.0                          10.0
    14    -2370.0    -146.0           300.0                          10.0
    15    -2532.0     157.0           300.0                          10.0
