ServiceMode
STAP-IS

Traveler
Number  Xcoord  Ycoord  SpeedMax
      15           0.0         0.0           50

Customer
Index  Xcoord  Ycoord  NeighborhoodRadius  DemandTime
     1     2567.0    -172.0           300.0                          10.0
     2     3060.0      13.0           300.0                          10.0
     3    -2800.0     -25.0           300.0                          10.0
     4    -2836.0     -49.0           300.0                          10.0
     5    -2596.0    -151.0           300.0                          10.0
     6     2780.0     -28.0           300.0                          10.0
     7     2360.0      64.0           300.0                          10.0
     8    -1738.0     223.0           300.0                          10.0
     9    -1349.0      66.0           300.0                          10.0
    10     3795.0     -22.0           300.0                          10.0
    11    -1126.0      65.0           300.0                          10.0
    12    -1510.0     201.0           300.0                          10.0
    13      893.0    -168.0           300.0                          10.0
    14    -2628.0    -125.0           300.0                          10.0
    15    -3482.0      62.0           300.0                          10.0
