Instance: STAP-CM_Num20_S50_D5_ID4
OFV: 113.3222074868602
Visiting sequence:
1   0
1   1
2   0
2   1
3   0
3   1
4   0
4   1
5   0
5   1
6   0
6   1
7   0
7   1
8   0
8   1
9   0
9   1
10   0
10   1
11   0
11   1
12   0
12   1
13   0
13   1
14   0
14   1
15   0
15   1
16   0
16   1
17   0
17   1
18   0
18   1
19   0
19   1
20   0
20   1
Traveling path:
0.0     0.0
-584.6   215.8
-584.6   215.8
-657.0  -194.3
-657.0  -194.3
-159.2  -668.4
-159.2  -668.4
407.3  -441.9
407.3  -441.9
688.6    19.5
688.6    19.5
267.6   549.8
267.6   549.8
0.0     0.0
