Instance: STAP-IM_Num25_S25_D10_ID10
OFV: 248.2463687516758
Visiting sequence:
1   0
1   1
2   0
2   1
3   0
3   1
4   0
4   1
5   0
5   1
6   0
6   1
7   0
7   1
8   0
8   1
9   0
9   1
10   0
10   1
11   0
11   1
12   0
12   1
13   0
13   1
14   0
14   1
15   0
15   1
16   0
16   1
17   0
17   1
18   0
18   1
19   0
19   1
20   0
20   1
21   0
21   1
22   0
22   1
23   0
23   1
24   0
24   1
25   0
25   1
Traveling path:
0.0     0.0
-244.3  -640.7
-244.3  -640.7
-447.7  -421.7
-447.7  -421.7
-602.1  -115.9
-602.1  -115.9
-285.1   593.6
-285.1   593.6
631.2   274.3
631.2   274.3
585.0   319.5
585.0   319.5
535.9  -132.4
535.9  -132.4
324.6  -404.0
324.6  -404.0
0.0     0.0
