Instance: STAP-IS_Num15_S25_D5_ID10
OFV: 191.2118380292993
Visiting sequence:
1   0
1   1
2   0
2   1
3   0
3   1
4   0
4   1
5   0
5   1
6   0
6   1
7   0
7   1
8   0
8   1
9   0
9   1
10   0
10   1
11   0
11   1
12   0
12   1
13   0
13   1
14   0
14   1
15   0
15   1
Traveling path:
0.0     0.0
-244.3  -640.7
-244.3  -640.7
-431.1  -448.4
-431.1  -448.4
-514.1  -102.0
-514.1  -102.0
-391.4   140.2
-391.4   140.2
-136.3   552.7
-136.3   552.7
305.6   360.8
305.6   360.8
605.2    10.3
605.2    10.3
605.7   -29.1
605.7   -29.1
0.0     0.0
