Instance: STAP-CM_Num15_S50_D5_ID6
OFV: 93.71167706425479
RunTime: 463.4078843593597
GurobiRunTime: 231.4955072402954
Visiting sequence:
11   0
11   1
6   0
6   1
12   0
12   1
10   0
10   1
14   0
14   1
8   0
8   1
2   0
2   1
15   0
15   1
1   0
1   1
9   0
9   1
4   0
4   1
13   0
13   1
7   0
7   1
5   0
5   1
3   0
3   1
Traveling path:
0.0     0.0
-9.5  -112.4
-9.5  -112.4
-34.8  -410.3
-34.8  -410.3
-51.3  -606.1
152.6  -711.9
152.9  -711.3
346.7  -553.6
413.9  -421.8
413.9  -421.8
547.9  -157.4
529.5   -80.0
649.5    52.4
591.8   295.5
288.3   413.1
-142.7   580.3
-249.9   622.0
-481.5   528.3
-486.9   516.6
-621.4   222.9
-690.1    74.8
-690.1    74.8
-701.3    50.1
-605.2   -24.9
-619.1   -65.0
-404.0  -218.5
-331.4  -179.4
-331.4  -179.4
-146.2   -79.3
-146.2   -79.3
0.0     0.0
