Instance: STAP-IS_Num15_S50_D20_ID3
OFV: 309.780244212874
RunTime: 1357.618049621582
GurobiRunTime: 1070.638866901398
Visiting sequence:
6   0
6   1
14   0
14   1
7   0
7   1
12   0
12   1
4   0
4   1
15   0
15   1
3   0
3   1
13   0
13   1
1   0
1   1
11   0
11   1
8   0
8   1
10   0
2   0
2   1
5   0
5   1
10   1
9   0
9   1
Traveling path:
0.0     0.0
-81.9    22.7
-165.9   322.0
-96.3   396.3
136.3   913.8
136.3   913.9
147.2   764.6
147.1   764.5
375.0   294.6
374.9   294.5
297.2   217.3
456.8   -16.3
919.6  -325.5
919.6  -325.5
468.7  -663.2
433.3  -673.8
-34.4  -999.7
-34.3  -999.8
78.0  -643.3
77.9  -643.2
-496.9  -667.0
-496.9  -667.2
-633.7  -167.1
-586.3    10.1
-791.6   200.1
-791.6   200.1
-661.4    41.4
-661.4    41.4
-251.4   146.3
-251.4   146.3
-73.1   -28.0
0.0     0.0
