Instance: STAP-CM_Num15_S50_D15_ID2
OFV: 248.2477879554164
RunTime: 253.0893518924713
GurobiRunTime: 182.1464927196503
Visiting sequence:
8   0
8   1
13   0
13   1
5   0
5   1
9   0
9   1
3   0
3   1
2   0
2   1
12   0
12   1
14   0
14   1
6   0
6   1
7   0
7   1
15   0
15   1
1   0
1   1
4   0
4   1
11   0
11   1
10   0
10   1
Traveling path:
0.0     0.0
1200.8   290.3
1605.1   272.1
1605.9   272.0
1595.7   212.8
541.1   286.7
541.1   286.7
539.4   285.7
9.2   224.7
-378.8   183.7
-973.8   120.2
-1076.2   111.0
-1648.2    35.7
-1967.8    -6.0
-2468.8   -74.1
-3136.6   -39.2
-3136.6   -39.2
-3303.6   -31.2
-3303.6   -31.2
-3418.6   -26.6
-3425.3   -72.7
-3169.0  -131.3
-3169.0  -131.3
-2979.8  -174.4
-2509.0  -281.2
-2508.5  -280.5
-2508.5  -280.5
-2151.4  -186.4
-1574.7   -33.2
-1381.1    17.5
-792.1    68.3
0.0     0.0
