Instance: STAP-IM_Num15_S50_D15_ID8
OFV: 306.6815407993529
RunTime: 74.05869030952454
GurobiRunTime: 3.670368671417236
Visiting sequence:
13   0
13   1
1   0
1   1
2   0
2   1
10   0
10   1
6   0
6   1
7   0
7   1
12   0
12   1
14   0
14   1
4   0
4   1
15   0
15   1
3   0
3   1
5   0
5   1
8   0
8   1
9   0
9   1
11   0
11   1
Traveling path:
0.0     0.0
598.2  -112.5
1193.0  -168.6
2267.0  -171.4
2763.0    55.2
2763.0    55.2
3359.7    -1.1
3495.4    -7.3
3495.4    -7.3
2677.8  -310.0
2525.2  -186.4
2525.1  -186.5
2126.5  -124.4
-1211.2   174.0
-1798.0   116.9
-2340.0   -40.9
-2636.6   174.9
-2636.4   174.9
-3131.7     1.7
-3186.3    11.3
-3183.2    89.0
-3073.3    98.8
-2553.3   145.7
-2553.2   145.9
-2389.1    66.3
-1968.3    30.8
-1627.7   -56.0
-1622.0   -58.4
-1238.7  -213.0
-1238.5  -213.1
-927.3  -159.7
0.0     0.0
